Id,ProductionBudget,DomesticGross,WorldwideGross,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,DomesticDVDSales,DomesticBluRaySales,TotalDomesticVideoSales,OpeningWeekend,Legs,InflAdjDomBO,RunningTime
1,533200000,936662225,2056046835,936662225,1119384610,2056046835,39601100,151559711,191160811,247966675,3.78,1191447782,136
2,460000000,684075767,2315589775,684075767,1631514008,2315589775,7771432,11365092,19136524,134100226,5.1,693596368,190
3,402300000,174480468,383963057,174480468,209482589,383963057,,,,60368101,2.89,174480468,142
4,400000000,858373000,2748242781,858373000,1889869781,2748242781,23961293,83907696,107868989,357115007,2.4,1010181328,181
5,400000000,0,0,,,,,,,,,,
6,379000000,241071802,1045713802,241071802,804642000,1045713802,33797726,58986626,92784352,90151958,2.67,327711731,136
7,365000000,459005868,1395316979,459005868,936311111,1395316979,36065408,55624219,91689627,191271109,2.4,586961233,141
8,340000000,146126015,714375114,146126015,568249099,714375114,4701025,6802934,11503959,67017410,2.18,146126015,141
9,330400000,213767512,393151347,213767512,179383835,393151347,16672777,39434713,56107490,84420489,2.53,252954306,135
10,300000000,678815482,2048359754,678815482,1369544272,2048359754,25831315,78262707,104094022,257698183,2.63,803252566,156
11,300000000,309420425,960996492,309420425,651576067,960996492,299639533,7627144,307266677,114732820,2.7,484818620,167
12,300000000,229024295,655945209,229024295,426920914,655945209,32584343,42214834,74799177,93842239,2.44,275173428,121
13,290000000,172640980,566644143,172640980,394003163,566644143,387290,1136343,1523633,54688347,3.16,172640980,163
14,280200000,533539991,1055083596,533539991,521543605,1055083596,18615229,69537810,88153039,155081681,3.44,659851605,134
15,275000000,515202542,1069951814,515202542,554749272,1069951814,16790616,51641595,68432211,177383864,2.9,605999942,142
16,274800000,84500223,199706250,84500223,115206027,199706250,,,,46110859,1.83,84500223,105
17,263700000,73058679,282778100,73058679,209719421,282778100,25325623,16663941,41989564,30180188,2.42,98941276,132
18,263000000,330360194,872395091,330360194,542034897,872395091,23470859,59025521,82496380,166007347,1.99,411709005,151
19,262000000,620181382,1322581071,620181382,702399689,1322581071,24873286,77617001,102490287,220009584,2.82,743422283,150
20,260000000,543638043,1661454403,543638043,1117816360,1661454403,19959906,32206981,52166887,191770759,2.83,639783632,118
21,260000000,200821936,582440151,200821936,381618215,582440151,170983494,65663692,236647186,48767052,4.12,274152853,101
22,258000000,337607351,895937268,337607351,558329917,895937268,126617858,872296,127490154,151116516,2.23,528373065,139
23,250000000,453829060,853985546,453829060,400156486,853985546,3967506,5114100,9081606,181339761,2.5,464192287,161
24,250000000,408084349,1151899586,408084349,743815237,1151899586,23822123,62170225,85992348,179139142,2.28,508572167,146
25,250000000,358995815,845163792,358995815,486167977,845163792,4149664,9047110,13196774,118414021,3.03,358995819,150
26,250000000,343256830,760928081,343256830,417671251,760928081,6064557,12585321,18649878,144165107,2.38,351406321,119
27,250000000,302854063,926556531,302854063,623702468,926556531,126253402,51344363,177597765,77835727,3.89,434628137,153
28,250000000,298172056,569626289,298172056,271454233,569626289,1583354,1920910,3504264,95578040,3.12,298172056,135
29,250000000,258241522,959358436,258241522,701116914,959358436,43998533,63102667,107101200,73645197,3.51,342225923,201
30,250000000,255119788,940323039,255119788,685203251,940323039,29783287,48156659,77939946,54724334,4.66,335216001,144
31,250000000,225764765,1235534014,225764765,1009769249,1235534014,22695150,26102734,48797884,98786705,2.29,271320419,136
32,250000000,172415698,460515698,172415698,288100000,460515698,,,,55034715,3.13,172415698,148
33,250000000,160891007,758929771,160891007,598038764,758929771,9785983,21769287,31555270,55225007,2.91,170536980,163
34,245000000,200074175,879077344,200074175,679003169,879077344,13328608,24232900,37561508,70403148,2.84,255751468,148
35,237000000,785221649,2923706026,785221649,2138484377,2923706026,210050367,222484647,432535014,77025481,10.19,1089388693,162
